Class,GivenLength,GivenLengthOdd,GivenFirstLetterNumber,GivenFirstLetterVowel,GivenFirstLetterOdd,GivenFirstLetterFirstHalf,GivenSecondLetterNumber,GivenSecondLetterVowel,GivenSecondLetterOdd,GivenSecondLetterFirstHalf,SurLength,SurLengthOdd,SurFirstLetterNumber,SurFirstLetterVowel,SurFirstLetterOdd,SurFirstLetterFirstHalf,SurSecondLetterNumber,SurSecondLetterVowel,SurSecondLetterOdd,SurSecondLetterFirstHalf,GivenAndSurLength,GivenAndSurLengthOdd
WINNER,6,FALSE,25,FALSE,TRUE,FALSE,9,TRUE,TRUE,TRUE,7,TRUE,13,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,13,TRUE
LOSER,7,TRUE,11,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,9,TRUE,22,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE,16,FALSE
WINNER,7,TRUE,1,TRUE,TRUE,TRUE,20,FALSE,FALSE,FALSE,8,FALSE,7,FALSE,TRUE,TRUE,9,TRUE,TRUE,TRUE,15,TRUE
WINNER,6,FALSE,20,FALSE,FALSE,FALSE,8,FALSE,FALSE,TRUE,8,FALSE,26,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE,14,FALSE
LOSER,7,TRUE,13,FALSE,TRUE,TRUE,9,TRUE,TRUE,TRUE,7,TRUE,12,FALSE,FALSE,TRUE,9,TRUE,TRUE,TRUE,14,FALSE
WINNER,5,TRUE,19,FALSE,TRUE,FALSE,8,FALSE,FALSE,TRUE,10,FALSE,13,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,15,TRUE
LOSER,4,FALSE,5,TRUE,TRUE,TRUE,18,FALSE,FALSE,FALSE,8,FALSE,1,TRUE,TRUE,TRUE,12,FALSE,FALSE,TRUE,12,FALSE
WINNER,6,FALSE,3,FALSE,TRUE,TRUE,21,TRUE,TRUE,FALSE,8,FALSE,19,FALSE,TRUE,FALSE,3,FALSE,TRUE,TRUE,14,FALSE
LOSER,7,TRUE,18,FALSE,FALSE,FALSE,15,TRUE,TRUE,FALSE,5,TRUE,16,FALSE,FALSE,FALSE,9,TRUE,TRUE,TRUE,12,FALSE
WINNER,5,TRUE,14,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,7,TRUE,2,FALSE,FALSE,TRUE,19,FALSE,TRUE,FALSE,12,FALSE
WINNER,8,FALSE,23,FALSE,TRUE,FALSE,15,TRUE,TRUE,FALSE,5,TRUE,10,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,13,TRUE
WINNER,4,FALSE,19,FALSE,TRUE,FALSE,5,TRUE,TRUE,TRUE,8,FALSE,6,FALSE,FALSE,TRUE,12,FALSE,FALSE,TRUE,12,FALSE
WINNER,5,TRUE,16,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE,8,FALSE,2,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,13,TRUE
WINNER,5,TRUE,3,FALSE,TRUE,TRUE,18,FALSE,FALSE,FALSE,8,FALSE,11,FALSE,TRUE,TRUE,14,FALSE,FALSE,FALSE,13,TRUE
WINNER,6,FALSE,16,FALSE,FALSE,FALSE,18,FALSE,FALSE,FALSE,9,TRUE,20,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,15,TRUE
WINNER,4,FALSE,19,FALSE,TRUE,FALSE,20,FALSE,FALSE,FALSE,6,FALSE,13,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,10,FALSE
WINNER,6,FALSE,16,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,6,FALSE,11,FALSE,TRUE,TRUE,15,TRUE,TRUE,FALSE,12,FALSE
WINNER,6,FALSE,19,FALSE,TRUE,FALSE,1,TRUE,TRUE,TRUE,7,TRUE,16,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,13,TRUE
LOSER,6,FALSE,7,FALSE,TRUE,TRUE,5,TRUE,TRUE,TRUE,4,FALSE,2,FALSE,FALSE,TRUE,5,TRUE,TRUE,TRUE,10,FALSE
WINNER,7,TRUE,19,FALSE,TRUE,FALSE,20,FALSE,FALSE,FALSE,4,FALSE,11,FALSE,TRUE,TRUE,23,FALSE,TRUE,FALSE,11,TRUE
WINNER,9,TRUE,19,FALSE,TRUE,FALSE,5,TRUE,TRUE,TRUE,5,TRUE,19,FALSE,TRUE,FALSE,5,TRUE,TRUE,TRUE,14,FALSE
WINNER,9,TRUE,16,FALSE,FALSE,FALSE,18,FALSE,FALSE,FALSE,9,TRUE,18,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,18,FALSE
WINNER,6,FALSE,19,FALSE,TRUE,FALSE,20,FALSE,FALSE,FALSE,6,FALSE,13,FALSE,TRUE,TRUE,9,TRUE,TRUE,TRUE,12,FALSE
WINNER,5,TRUE,12,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,5,TRUE,18,FALSE,FALSE,FALSE,9,TRUE,TRUE,TRUE,10,FALSE
WINNER,7,TRUE,23,FALSE,TRUE,FALSE,9,TRUE,TRUE,TRUE,5,TRUE,19,FALSE,TRUE,FALSE,1,TRUE,TRUE,TRUE,12,FALSE
WINNER,7,TRUE,3,FALSE,TRUE,TRUE,12,FALSE,FALSE,TRUE,11,TRUE,6,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,18,FALSE
LOSER,5,TRUE,22,FALSE,FALSE,FALSE,9,TRUE,TRUE,TRUE,8,FALSE,18,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,13,TRUE
LOSER,3,TRUE,2,FALSE,FALSE,TRUE,15,TRUE,TRUE,FALSE,5,TRUE,5,TRUE,TRUE,TRUE,22,FALSE,FALSE,FALSE,8,FALSE
WINNER,4,FALSE,14,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE,7,TRUE,2,FALSE,FALSE,TRUE,5,TRUE,TRUE,TRUE,11,TRUE
WINNER,8,FALSE,13,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,5,TRUE,9,TRUE,TRUE,TRUE,14,FALSE,FALSE,FALSE,13,TRUE
WINNER,4,FALSE,19,FALSE,TRUE,FALSE,8,FALSE,FALSE,TRUE,9,TRUE,2,FALSE,FALSE,TRUE,5,TRUE,TRUE,TRUE,13,TRUE
WINNER,3,TRUE,4,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,4,FALSE,18,FALSE,FALSE,FALSE,15,TRUE,TRUE,FALSE,7,TRUE
WINNER,4,FALSE,12,FALSE,FALSE,TRUE,9,TRUE,TRUE,TRUE,11,TRUE,8,FALSE,FALSE,TRUE,5,TRUE,TRUE,TRUE,15,TRUE
WINNER,8,FALSE,7,FALSE,TRUE,TRUE,5,TRUE,TRUE,TRUE,6,FALSE,7,FALSE,TRUE,TRUE,15,TRUE,TRUE,FALSE,14,FALSE
LOSER,4,FALSE,16,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,7,TRUE,22,FALSE,FALSE,FALSE,9,TRUE,TRUE,TRUE,11,TRUE
WINNER,6,FALSE,1,TRUE,TRUE,TRUE,14,FALSE,FALSE,FALSE,6,FALSE,2,FALSE,FALSE,TRUE,12,FALSE,FALSE,TRUE,12,FALSE
WINNER,4,FALSE,10,FALSE,FALSE,TRUE,5,TRUE,TRUE,TRUE,7,TRUE,10,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,11,TRUE
LOSER,8,FALSE,13,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,5,TRUE,8,FALSE,FALSE,TRUE,5,TRUE,TRUE,TRUE,13,TRUE
WINNER,6,FALSE,14,FALSE,FALSE,FALSE,9,TRUE,TRUE,TRUE,12,FALSE,3,FALSE,TRUE,TRUE,5,TRUE,TRUE,TRUE,18,FALSE
WINNER,5,TRUE,4,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,10,FALSE,13,FALSE,TRUE,TRUE,15,TRUE,TRUE,FALSE,15,TRUE
WINNER,7,TRUE,11,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,5,TRUE,9,TRUE,TRUE,TRUE,11,FALSE,TRUE,TRUE,12,FALSE
WINNER,10,FALSE,16,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,4,FALSE,3,FALSE,TRUE,TRUE,8,FALSE,FALSE,TRUE,14,FALSE
LOSER,4,FALSE,16,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,6,FALSE,21,TRUE,TRUE,FALSE,20,FALSE,FALSE,FALSE,10,FALSE
WINNER,6,FALSE,10,FALSE,FALSE,TRUE,15,TRUE,TRUE,FALSE,10,FALSE,15,TRUE,TRUE,FALSE,-57,FALSE,TRUE,FALSE,16,FALSE
LOSER,9,TRUE,20,FALSE,FALSE,FALSE,15,TRUE,TRUE,FALSE,10,FALSE,13,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,19,TRUE
WINNER,4,FALSE,16,FALSE,FALSE,FALSE,8,FALSE,FALSE,TRUE,4,FALSE,12,FALSE,FALSE,TRUE,15,TRUE,TRUE,FALSE,8,FALSE
WINNER,3,TRUE,20,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,8,FALSE,7,FALSE,TRUE,TRUE,18,FALSE,FALSE,FALSE,11,TRUE
WINNER,5,TRUE,4,FALSE,FALSE,TRUE,15,TRUE,TRUE,FALSE,6,FALSE,19,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,11,TRUE
LOSER,6,FALSE,20,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,5,TRUE,21,TRUE,TRUE,FALSE,14,FALSE,FALSE,FALSE,11,TRUE
WINNER,8,FALSE,11,FALSE,TRUE,TRUE,18,FALSE,FALSE,FALSE,16,FALSE,16,FALSE,FALSE,FALSE,9,TRUE,TRUE,TRUE,24,FALSE
WINNER,7,TRUE,12,FALSE,FALSE,TRUE,15,TRUE,TRUE,FALSE,6,FALSE,19,FALSE,TRUE,FALSE,1,TRUE,TRUE,TRUE,13,TRUE
WINNER,5,TRUE,21,TRUE,TRUE,FALSE,19,FALSE,TRUE,FALSE,6,FALSE,6,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,11,TRUE
WINNER,4,FALSE,10,FALSE,FALSE,TRUE,21,TRUE,TRUE,FALSE,7,TRUE,19,FALSE,TRUE,FALSE,8,FALSE,FALSE,TRUE,11,TRUE
WINNER,5,TRUE,4,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,8,FALSE,8,FALSE,FALSE,TRUE,5,TRUE,TRUE,TRUE,13,TRUE
LOSER,8,FALSE,7,FALSE,TRUE,TRUE,18,FALSE,FALSE,FALSE,10,FALSE,11,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,18,FALSE
WINNER,3,TRUE,20,FALSE,FALSE,FALSE,15,TRUE,TRUE,FALSE,7,TRUE,8,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,10,FALSE
WINNER,5,TRUE,4,FALSE,FALSE,TRUE,18,FALSE,FALSE,FALSE,6,FALSE,9,TRUE,TRUE,TRUE,14,FALSE,FALSE,FALSE,11,TRUE
WINNER,4,FALSE,7,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,5,TRUE,23,FALSE,TRUE,FALSE,5,TRUE,TRUE,TRUE,9,TRUE
WINNER,5,TRUE,6,FALSE,FALSE,TRUE,18,FALSE,FALSE,FALSE,7,TRUE,19,FALSE,TRUE,FALSE,20,FALSE,FALSE,FALSE,12,FALSE
LOSER,5,TRUE,11,FALSE,TRUE,TRUE,5,TRUE,TRUE,TRUE,9,TRUE,25,FALSE,TRUE,FALSE,1,TRUE,TRUE,TRUE,14,FALSE
WINNER,5,TRUE,25,FALSE,TRUE,FALSE,15,TRUE,TRUE,FALSE,6,FALSE,19,FALSE,TRUE,FALSE,9,TRUE,TRUE,TRUE,11,TRUE
WINNER,4,FALSE,11,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,5,TRUE,7,FALSE,TRUE,TRUE,15,TRUE,TRUE,FALSE,9,TRUE
WINNER,4,FALSE,18,FALSE,FALSE,FALSE,15,TRUE,TRUE,FALSE,7,TRUE,11,FALSE,TRUE,TRUE,8,FALSE,FALSE,TRUE,11,TRUE
WINNER,7,TRUE,14,FALSE,FALSE,FALSE,9,TRUE,TRUE,TRUE,8,FALSE,14,FALSE,FALSE,FALSE,9,TRUE,TRUE,TRUE,15,TRUE
WINNER,5,TRUE,4,FALSE,FALSE,TRUE,9,TRUE,TRUE,TRUE,6,FALSE,7,FALSE,TRUE,TRUE,15,TRUE,TRUE,FALSE,11,TRUE
WINNER,6,FALSE,3,FALSE,TRUE,TRUE,12,FALSE,FALSE,TRUE,6,FALSE,3,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,12,FALSE
WINNER,5,TRUE,13,FALSE,TRUE,TRUE,15,TRUE,TRUE,FALSE,6,FALSE,11,FALSE,TRUE,TRUE,15,TRUE,TRUE,FALSE,11,TRUE
WINNER,4,FALSE,1,TRUE,TRUE,TRUE,14,FALSE,FALSE,FALSE,7,TRUE,2,FALSE,FALSE,TRUE,5,TRUE,TRUE,TRUE,11,TRUE
WINNER,6,FALSE,13,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,11,TRUE,19,FALSE,TRUE,FALSE,1,TRUE,TRUE,TRUE,17,TRUE
WINNER,4,FALSE,13,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,8,FALSE,3,FALSE,TRUE,TRUE,8,FALSE,FALSE,TRUE,12,FALSE
LOSER,4,FALSE,12,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,5,TRUE,1,TRUE,TRUE,TRUE,19,FALSE,TRUE,FALSE,9,TRUE
WINNER,4,FALSE,4,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,3,TRUE,18,FALSE,FALSE,FALSE,15,TRUE,TRUE,FALSE,7,TRUE
WINNER,6,FALSE,1,TRUE,TRUE,TRUE,14,FALSE,FALSE,FALSE,6,FALSE,2,FALSE,FALSE,TRUE,21,TRUE,TRUE,FALSE,12,FALSE
LOSER,4,FALSE,5,TRUE,TRUE,TRUE,4,FALSE,FALSE,TRUE,7,TRUE,13,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,11,TRUE
WINNER,4,FALSE,13,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,11,TRUE,19,FALSE,TRUE,FALSE,3,FALSE,TRUE,TRUE,15,TRUE
WINNER,5,TRUE,13,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,8,FALSE,13,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,13,TRUE
LOSER,5,TRUE,4,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,6,FALSE,16,FALSE,FALSE,FALSE,9,TRUE,TRUE,TRUE,11,TRUE
WINNER,3,TRUE,4,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,8,FALSE,15,TRUE,TRUE,FALSE,2,FALSE,FALSE,TRUE,11,TRUE
WINNER,7,TRUE,8,FALSE,FALSE,TRUE,9,TRUE,TRUE,TRUE,6,FALSE,20,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,13,TRUE
WINNER,7,TRUE,10,FALSE,FALSE,TRUE,15,TRUE,TRUE,FALSE,5,TRUE,13,FALSE,TRUE,TRUE,15,TRUE,TRUE,FALSE,12,FALSE
WINNER,6,FALSE,20,FALSE,FALSE,FALSE,8,FALSE,FALSE,TRUE,8,FALSE,23,FALSE,TRUE,FALSE,5,TRUE,TRUE,TRUE,14,FALSE
WINNER,3,TRUE,20,FALSE,FALSE,FALSE,15,TRUE,TRUE,FALSE,7,TRUE,6,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,10,FALSE
WINNER,6,FALSE,19,FALSE,TRUE,FALSE,20,FALSE,FALSE,FALSE,8,FALSE,19,FALSE,TRUE,FALSE,1,TRUE,TRUE,TRUE,14,FALSE
WINNER,5,TRUE,3,FALSE,TRUE,TRUE,8,FALSE,FALSE,TRUE,6,FALSE,4,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,11,TRUE
LOSER,6,FALSE,24,FALSE,FALSE,FALSE,21,TRUE,TRUE,FALSE,4,FALSE,23,FALSE,TRUE,FALSE,1,TRUE,TRUE,TRUE,10,FALSE
LOSER,5,TRUE,14,FALSE,FALSE,FALSE,9,TRUE,TRUE,TRUE,9,TRUE,9,TRUE,TRUE,TRUE,14,FALSE,FALSE,FALSE,14,FALSE
WINNER,4,FALSE,15,TRUE,TRUE,FALSE,4,FALSE,FALSE,TRUE,5,TRUE,13,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,9,TRUE
LOSER,8,FALSE,20,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,8,FALSE,25,FALSE,TRUE,FALSE,1,TRUE,TRUE,TRUE,16,FALSE
WINNER,3,TRUE,18,FALSE,FALSE,FALSE,15,TRUE,TRUE,FALSE,6,FALSE,11,FALSE,TRUE,TRUE,15,TRUE,TRUE,FALSE,9,TRUE
WINNER,6,FALSE,18,FALSE,FALSE,FALSE,15,TRUE,TRUE,FALSE,5,TRUE,19,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,11,TRUE
LOSER,8,FALSE,3,FALSE,TRUE,TRUE,8,FALSE,FALSE,TRUE,3,TRUE,8,FALSE,FALSE,TRUE,19,FALSE,TRUE,FALSE,11,TRUE
WINNER,6,FALSE,4,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,10,FALSE,11,FALSE,TRUE,TRUE,15,TRUE,TRUE,FALSE,16,FALSE
WINNER,6,FALSE,18,FALSE,FALSE,FALSE,9,TRUE,TRUE,TRUE,7,TRUE,7,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,13,TRUE
WINNER,3,TRUE,10,FALSE,FALSE,TRUE,15,TRUE,TRUE,FALSE,6,FALSE,19,FALSE,TRUE,FALSE,21,TRUE,TRUE,FALSE,9,TRUE
WINNER,5,TRUE,10,FALSE,FALSE,TRUE,25,FALSE,TRUE,FALSE,7,TRUE,11,FALSE,TRUE,TRUE,9,TRUE,TRUE,TRUE,12,FALSE
WINNER,5,TRUE,20,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,6,FALSE,5,TRUE,TRUE,TRUE,12,FALSE,FALSE,TRUE,11,TRUE
WINNER,7,TRUE,13,FALSE,TRUE,TRUE,9,TRUE,TRUE,TRUE,7,TRUE,18,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE,14,FALSE
WINNER,4,FALSE,18,FALSE,FALSE,FALSE,9,TRUE,TRUE,TRUE,6,FALSE,13,FALSE,TRUE,TRUE,1,TRUE,TRUE,TRUE,10,FALSE
LOSER,7,TRUE,10,FALSE,FALSE,TRUE,9,TRUE,TRUE,TRUE,4,FALSE,8,FALSE,FALSE,TRUE,15,TRUE,TRUE,FALSE,11,TRUE
