Class,GivenLength,GivenFirstLetterNumber,GivenFirstLetterVowel,GivenSecondLetterNumber,GivenSecondLetterVowel,SurLength,SurFirstLetterNumber,SurFirstLetterVowel,SurSecondLetterNumber,SurSecondLetterVowel,GivenAndSurLength
LOSER,5,4,FALSE,1,TRUE,3,1,TRUE,8,FALSE,8
WINNER,5,11,FALSE,1,TRUE,3,1,TRUE,12,FALSE,8
WINNER,4,10,FALSE,15,TRUE,8,2,FALSE,1,TRUE,12
LOSER,7,20,FALSE,9,TRUE,6,2,FALSE,1,TRUE,13
LOSER,7,13,FALSE,9,TRUE,6,2,FALSE,1,TRUE,13
WINNER,5,3,FALSE,1,TRUE,7,2,FALSE,18,FALSE,12
WINNER,7,18,FALSE,9,TRUE,7,3,FALSE,1,TRUE,14
WINNER,3,23,FALSE,1,TRUE,6,3,FALSE,8,FALSE,9
WINNER,5,19,FALSE,20,FALSE,5,3,FALSE,8,FALSE,10
LOSER,5,3,FALSE,12,FALSE,7,3,FALSE,15,TRUE,12
WINNER,4,13,FALSE,1,TRUE,6,3,FALSE,18,FALSE,10
LOSER,6,18,FALSE,15,TRUE,5,4,FALSE,1,TRUE,11
WINNER,5,2,FALSE,18,FALSE,8,4,FALSE,1,TRUE,13
WINNER,5,19,FALSE,3,FALSE,7,4,FALSE,5,TRUE,12
WINNER,6,7,FALSE,5,TRUE,6,4,FALSE,5,TRUE,12
WINNER,6,20,FALSE,8,FALSE,10,4,FALSE,9,TRUE,16
LOSER,7,13,FALSE,9,TRUE,7,4,FALSE,15,TRUE,14
WINNER,6,7,FALSE,5,TRUE,7,4,FALSE,18,FALSE,13
WINNER,5,19,FALSE,21,TRUE,7,5,TRUE,16,FALSE,12
LOSER,4,10,FALSE,21,TRUE,8,6,FALSE,18,FALSE,12
WINNER,7,13,FALSE,5,TRUE,5,6,FALSE,21,TRUE,12
WINNER,4,10,FALSE,5,TRUE,8,7,FALSE,1,TRUE,12
LOSER,7,13,FALSE,5,TRUE,8,7,FALSE,5,TRUE,15
LOSER,4,16,FALSE,1,TRUE,8,7,FALSE,15,TRUE,12
LOSER,7,23,FALSE,9,TRUE,6,7,FALSE,18,FALSE,13
LOSER,6,18,FALSE,15,TRUE,5,8,FALSE,15,TRUE,11
LOSER,5,11,FALSE,12,FALSE,6,10,FALSE,1,TRUE,11
WINNER,6,7,FALSE,5,TRUE,4,10,FALSE,15,TRUE,10
WINNER,7,13,FALSE,9,TRUE,6,10,FALSE,15,TRUE,13
LOSER,6,12,FALSE,5,TRUE,9,11,FALSE,1,TRUE,15
WINNER,6,20,FALSE,8,FALSE,8,11,FALSE,1,TRUE,14
WINNER,6,4,FALSE,5,TRUE,6,11,FALSE,9,TRUE,12
WINNER,3,23,FALSE,5,TRUE,3,12,FALSE,5,TRUE,6
LOSER,4,13,FALSE,1,TRUE,3,12,FALSE,5,TRUE,7
WINNER,7,3,FALSE,8,FALSE,4,12,FALSE,9,TRUE,11
LOSER,5,2,FALSE,18,FALSE,9,13,FALSE,1,TRUE,14
WINNER,2,10,FALSE,-50,FALSE,7,13,FALSE,1,TRUE,9
WINNER,2,18,FALSE,-50,FALSE,8,13,FALSE,3,FALSE,10
LOSER,2,12,FALSE,-50,FALSE,7,13,FALSE,3,FALSE,9
LOSER,7,13,FALSE,9,TRUE,7,13,FALSE,5,TRUE,14
WINNER,9,1,TRUE,12,FALSE,7,13,FALSE,5,TRUE,16
WINNER,3,20,FALSE,15,TRUE,8,13,FALSE,9,TRUE,11
WINNER,6,1,TRUE,14,FALSE,5,13,FALSE,15,TRUE,11
LOSER,7,16,FALSE,1,TRUE,6,13,FALSE,21,TRUE,13
WINNER,8,19,FALSE,18,FALSE,6,13,FALSE,21,TRUE,14
WINNER,6,1,TRUE,14,FALSE,2,14,FALSE,7,FALSE,8
WINNER,6,19,FALSE,20,FALSE,6,14,FALSE,15,TRUE,12
WINNER,5,4,FALSE,1,TRUE,5,15,TRUE,16,FALSE,10
WINNER,5,2,FALSE,1,TRUE,11,16,FALSE,5,TRUE,16
LOSER,6,12,FALSE,15,TRUE,5,16,FALSE,18,FALSE,11
WINNER,6,6,FALSE,15,TRUE,7,16,FALSE,18,FALSE,13
LOSER,6,2,FALSE,8,FALSE,3,18,FALSE,1,TRUE,9
WINNER,8,16,FALSE,1,TRUE,6,18,FALSE,9,TRUE,14
WINNER,6,18,FALSE,15,TRUE,6,18,FALSE,9,TRUE,12
WINNER,6,18,FALSE,15,TRUE,4,18,FALSE,15,TRUE,10
LOSER,4,10,FALSE,15,TRUE,4,18,FALSE,15,TRUE,8
LOSER,5,10,FALSE,1,TRUE,5,18,FALSE,15,TRUE,10
WINNER,4,7,FALSE,1,TRUE,6,19,FALSE,5,TRUE,10
WINNER,6,4,FALSE,1,TRUE,6,19,FALSE,9,TRUE,12
LOSER,8,19,FALSE,1,TRUE,5,19,FALSE,9,TRUE,13
LOSER,5,4,FALSE,1,TRUE,6,19,FALSE,11,FALSE,11
WINNER,4,3,FALSE,1,TRUE,5,19,FALSE,13,FALSE,9
WINNER,6,20,FALSE,8,FALSE,9,19,FALSE,16,FALSE,15
WINNER,8,13,FALSE,1,TRUE,5,19,FALSE,21,TRUE,13
LOSER,7,18,FALSE,9,TRUE,6,19,FALSE,21,TRUE,13
WINNER,4,3,FALSE,8,FALSE,4,20,FALSE,8,FALSE,8
WINNER,4,12,FALSE,25,FALSE,5,21,TRUE,14,FALSE,9
WINNER,7,15,TRUE,12,FALSE,3,22,FALSE,5,TRUE,10
WINNER,7,2,FALSE,18,FALSE,9,23,FALSE,8,FALSE,16
LOSER,4,10,FALSE,15,TRUE,5,26,FALSE,5,TRUE,9
WINNER,2,5,TRUE,4,FALSE,8,16,FALSE,5,TRUE,10
WINNER,5,14,FALSE,5,TRUE,4,11,FALSE,8,FALSE,9
WINNER,3,2,FALSE,9,TRUE,5,2,FALSE,8,FALSE,8
WINNER,7,1,TRUE,18,FALSE,8,15,TRUE,12,FALSE,15
LOSER,5,9,TRUE,18,FALSE,14,20,FALSE,3,FALSE,19
WINNER,7,13,FALSE,9,TRUE,5,19,FALSE,5,TRUE,12
LOSER,8,10,FALSE,15,TRUE,5,11,FALSE,9,TRUE,13
LOSER,9,25,FALSE,15,TRUE,5,19,FALSE,1,TRUE,14
WINNER,4,25,FALSE,15,TRUE,6,6,FALSE,18,FALSE,10
WINNER,8,10,FALSE,15,TRUE,6,7,FALSE,18,FALSE,14
WINNER,5,13,FALSE,1,TRUE,7,7,FALSE,21,TRUE,12
WINNER,3,8,FALSE,21,TRUE,7,18,FALSE,15,TRUE,10
LOSER,5,19,FALSE,1,TRUE,7,7,FALSE,15,TRUE,12
WINNER,7,2,FALSE,8,FALSE,8,4,FALSE,1,TRUE,15
LOSER,8,6,FALSE,5,TRUE,7,16,FALSE,5,TRUE,15
WINNER,4,14,FALSE,9,TRUE,6,13,FALSE,9,TRUE,10
WINNER,4,23,FALSE,18,FALSE,7,2,FALSE,21,TRUE,11
WINNER,7,25,FALSE,15,TRUE,3,7,FALSE,9,TRUE,10
WINNER,5,3,FALSE,8,FALSE,8,4,FALSE,18,FALSE,13
WINNER,6,3,FALSE,12,FALSE,6,19,FALSE,1,TRUE,12
LOSER,6,19,FALSE,1,TRUE,4,10,FALSE,1,TRUE,10
WINNER,6,19,FALSE,20,FALSE,6,11,FALSE,18,FALSE,12
WINNER,8,3,FALSE,18,FALSE,8,2,FALSE,1,TRUE,16
WINNER,6,4,FALSE,23,FALSE,7,19,FALSE,3,FALSE,13
LOSER,6,16,FALSE,8,FALSE,4,3,FALSE,8,FALSE,10
WINNER,6,25,FALSE,9,TRUE,7,13,FALSE,1,TRUE,13
LOSER,7,11,FALSE,1,TRUE,9,22,FALSE,5,TRUE,16
WINNER,7,1,TRUE,20,FALSE,8,7,FALSE,9,TRUE,15
WINNER,6,20,FALSE,8,FALSE,8,26,FALSE,5,TRUE,14
LOSER,7,13,FALSE,9,TRUE,7,12,FALSE,9,TRUE,14
WINNER,5,19,FALSE,8,FALSE,10,13,FALSE,1,TRUE,15
LOSER,4,5,TRUE,18,FALSE,8,1,TRUE,12,FALSE,12
WINNER,6,3,FALSE,21,TRUE,8,19,FALSE,3,FALSE,14
LOSER,7,18,FALSE,15,TRUE,5,16,FALSE,9,TRUE,12
WINNER,5,14,FALSE,1,TRUE,7,2,FALSE,19,FALSE,12
WINNER,8,23,FALSE,15,TRUE,5,10,FALSE,1,TRUE,13
WINNER,4,19,FALSE,5,TRUE,8,6,FALSE,12,FALSE,12
WINNER,5,16,FALSE,5,TRUE,8,2,FALSE,1,TRUE,13
WINNER,5,3,FALSE,18,FALSE,8,11,FALSE,14,FALSE,13
WINNER,6,16,FALSE,18,FALSE,9,20,FALSE,1,TRUE,15
WINNER,4,19,FALSE,20,FALSE,6,13,FALSE,1,TRUE,10
WINNER,6,16,FALSE,1,TRUE,6,11,FALSE,15,TRUE,12
WINNER,6,19,FALSE,1,TRUE,7,16,FALSE,1,TRUE,13
LOSER,6,7,FALSE,5,TRUE,4,2,FALSE,5,TRUE,10
WINNER,7,19,FALSE,20,FALSE,4,11,FALSE,23,FALSE,11
WINNER,9,19,FALSE,5,TRUE,5,19,FALSE,5,TRUE,14
WINNER,9,16,FALSE,18,FALSE,9,18,FALSE,1,TRUE,18
WINNER,6,19,FALSE,20,FALSE,6,13,FALSE,9,TRUE,12
WINNER,5,12,FALSE,1,TRUE,5,18,FALSE,9,TRUE,10
WINNER,7,23,FALSE,9,TRUE,5,19,FALSE,1,TRUE,12
WINNER,7,3,FALSE,12,FALSE,11,6,FALSE,1,TRUE,18
LOSER,5,22,FALSE,9,TRUE,8,18,FALSE,1,TRUE,13
LOSER,3,2,FALSE,15,TRUE,5,5,TRUE,22,FALSE,8
WINNER,4,14,FALSE,5,TRUE,7,2,FALSE,5,TRUE,11
WINNER,8,13,FALSE,1,TRUE,5,9,TRUE,14,FALSE,13
WINNER,4,19,FALSE,8,FALSE,9,2,FALSE,5,TRUE,13
WINNER,3,4,FALSE,1,TRUE,4,18,FALSE,15,TRUE,7
WINNER,4,12,FALSE,9,TRUE,11,8,FALSE,5,TRUE,15
WINNER,8,7,FALSE,5,TRUE,6,7,FALSE,15,TRUE,14
LOSER,4,16,FALSE,1,TRUE,7,22,FALSE,9,TRUE,11
WINNER,6,1,TRUE,14,FALSE,6,2,FALSE,12,FALSE,12
WINNER,4,10,FALSE,5,TRUE,7,10,FALSE,1,TRUE,11
LOSER,8,13,FALSE,1,TRUE,5,8,FALSE,5,TRUE,13
WINNER,6,14,FALSE,9,TRUE,12,3,FALSE,5,TRUE,18
WINNER,5,4,FALSE,1,TRUE,10,13,FALSE,15,TRUE,15
WINNER,7,11,FALSE,1,TRUE,5,9,TRUE,11,FALSE,12
WINNER,10,16,FALSE,1,TRUE,4,3,FALSE,8,FALSE,14
LOSER,4,16,FALSE,1,TRUE,6,21,TRUE,20,FALSE,10
WINNER,6,10,FALSE,15,TRUE,10,15,TRUE,-57,FALSE,16
LOSER,9,20,FALSE,15,TRUE,10,13,FALSE,1,TRUE,19
WINNER,4,16,FALSE,8,FALSE,4,12,FALSE,15,TRUE,8
WINNER,3,20,FALSE,1,TRUE,8,7,FALSE,18,FALSE,11
WINNER,5,4,FALSE,15,TRUE,6,19,FALSE,12,FALSE,11
LOSER,6,20,FALSE,1,TRUE,5,21,TRUE,14,FALSE,11
WINNER,8,11,FALSE,18,FALSE,16,16,FALSE,9,TRUE,24
WINNER,7,12,FALSE,15,TRUE,6,19,FALSE,1,TRUE,13
WINNER,5,21,TRUE,19,FALSE,6,6,FALSE,1,TRUE,11
WINNER,4,10,FALSE,21,TRUE,7,19,FALSE,8,FALSE,11
WINNER,5,4,FALSE,1,TRUE,8,8,FALSE,5,TRUE,13
LOSER,8,7,FALSE,18,FALSE,10,11,FALSE,1,TRUE,18
WINNER,3,20,FALSE,15,TRUE,7,8,FALSE,1,TRUE,10
WINNER,5,4,FALSE,18,FALSE,6,9,TRUE,14,FALSE,11
WINNER,4,7,FALSE,1,TRUE,5,23,FALSE,5,TRUE,9
WINNER,5,6,FALSE,18,FALSE,7,19,FALSE,20,FALSE,12
LOSER,5,11,FALSE,5,TRUE,9,25,FALSE,1,TRUE,14
WINNER,5,25,FALSE,15,TRUE,6,19,FALSE,9,TRUE,11
WINNER,4,11,FALSE,1,TRUE,5,7,FALSE,15,TRUE,9
WINNER,4,18,FALSE,15,TRUE,7,11,FALSE,8,FALSE,11
WINNER,7,14,FALSE,9,TRUE,8,14,FALSE,9,TRUE,15
WINNER,5,4,FALSE,9,TRUE,6,7,FALSE,15,TRUE,11
WINNER,6,3,FALSE,12,FALSE,6,3,FALSE,1,TRUE,12
WINNER,5,13,FALSE,15,TRUE,6,11,FALSE,15,TRUE,11
WINNER,4,1,TRUE,14,FALSE,7,2,FALSE,5,TRUE,11
WINNER,6,13,FALSE,1,TRUE,11,19,FALSE,1,TRUE,17
WINNER,4,13,FALSE,1,TRUE,8,3,FALSE,8,FALSE,12
LOSER,4,12,FALSE,1,TRUE,5,1,TRUE,19,FALSE,9
WINNER,4,4,FALSE,1,TRUE,3,18,FALSE,15,TRUE,7
WINNER,6,1,TRUE,14,FALSE,6,2,FALSE,21,TRUE,12
LOSER,4,5,TRUE,4,FALSE,7,13,FALSE,1,TRUE,11
WINNER,4,13,FALSE,1,TRUE,11,19,FALSE,3,FALSE,15
WINNER,5,13,FALSE,1,TRUE,8,13,FALSE,1,TRUE,13
LOSER,5,4,FALSE,1,TRUE,6,16,FALSE,9,TRUE,11
WINNER,3,4,FALSE,1,TRUE,8,15,TRUE,2,FALSE,11
WINNER,7,8,FALSE,9,TRUE,6,20,FALSE,1,TRUE,13
WINNER,7,10,FALSE,15,TRUE,5,13,FALSE,15,TRUE,12
WINNER,6,20,FALSE,8,FALSE,8,23,FALSE,5,TRUE,14
WINNER,3,20,FALSE,15,TRUE,7,6,FALSE,1,TRUE,10
WINNER,6,19,FALSE,20,FALSE,8,19,FALSE,1,TRUE,14
WINNER,5,3,FALSE,8,FALSE,6,4,FALSE,1,TRUE,11
LOSER,6,24,FALSE,21,TRUE,4,23,FALSE,1,TRUE,10
LOSER,5,14,FALSE,9,TRUE,9,9,TRUE,14,FALSE,14
WINNER,4,15,TRUE,4,FALSE,5,13,FALSE,1,TRUE,9
LOSER,8,20,FALSE,1,TRUE,8,25,FALSE,1,TRUE,16
WINNER,3,18,FALSE,15,TRUE,6,11,FALSE,15,TRUE,9
WINNER,6,18,FALSE,15,TRUE,5,19,FALSE,12,FALSE,11
LOSER,8,3,FALSE,8,FALSE,3,8,FALSE,19,FALSE,11
WINNER,6,4,FALSE,1,TRUE,10,11,FALSE,15,TRUE,16
WINNER,6,18,FALSE,9,TRUE,7,7,FALSE,1,TRUE,13
WINNER,3,10,FALSE,15,TRUE,6,19,FALSE,21,TRUE,9
WINNER,5,10,FALSE,25,FALSE,7,11,FALSE,9,TRUE,12
WINNER,5,20,FALSE,1,TRUE,6,5,TRUE,12,FALSE,11
WINNER,7,13,FALSE,9,TRUE,7,18,FALSE,5,TRUE,14
WINNER,4,18,FALSE,9,TRUE,6,13,FALSE,1,TRUE,10
LOSER,7,10,FALSE,9,TRUE,4,8,FALSE,15,TRUE,11
WINNER,6,10,FALSE,1,TRUE,4,23,FALSE,14,FALSE,10
WINNER,6,4,FALSE,1,TRUE,8,8,FALSE,5,TRUE,14
WINNER,5,4,FALSE,1,TRUE,4,3,FALSE,15,TRUE,9
WINNER,7,12,FALSE,9,TRUE,6,4,FALSE,1,TRUE,13
WINNER,3,23,FALSE,1,TRUE,3,12,FALSE,1,TRUE,6
WINNER,7,19,FALSE,20,FALSE,9,13,FALSE,21,TRUE,16
LOSER,5,10,FALSE,1,TRUE,7,3,FALSE,1,TRUE,12
WINNER,9,10,FALSE,21,TRUE,5,18,FALSE,15,TRUE,14
WINNER,6,12,FALSE,5,TRUE,5,7,FALSE,18,FALSE,11
LOSER,8,14,FALSE,1,TRUE,9,10,FALSE,1,TRUE,17
WINNER,8,18,FALSE,1,TRUE,5,10,FALSE,15,TRUE,13
WINNER,4,10,FALSE,15,TRUE,7,18,FALSE,1,TRUE,11
WINNER,5,13,FALSE,15,TRUE,6,12,FALSE,5,TRUE,11
WINNER,7,5,TRUE,13,FALSE,5,11,FALSE,14,FALSE,12
WINNER,6,19,FALSE,8,FALSE,5,23,FALSE,5,TRUE,11
WINNER,5,4,FALSE,1,TRUE,7,26,FALSE,21,TRUE,12
WINNER,7,13,FALSE,9,TRUE,6,11,FALSE,5,TRUE,13
WINNER,5,8,FALSE,15,TRUE,5,25,FALSE,1,TRUE,10
WINNER,3,20,FALSE,15,TRUE,8,2,FALSE,25,FALSE,11
LOSER,8,10,FALSE,15,TRUE,9,6,FALSE,21,TRUE,17
WINNER,3,16,FALSE,1,TRUE,7,12,FALSE,1,TRUE,10
WINNER,5,10,FALSE,1,TRUE,5,1,TRUE,19,FALSE,10
WINNER,4,19,FALSE,5,TRUE,8,19,FALSE,12,FALSE,12
WINNER,5,4,FALSE,1,TRUE,7,7,FALSE,9,TRUE,12
LOSER,6,13,FALSE,1,TRUE,7,11,FALSE,15,TRUE,13
WINNER,4,2,FALSE,1,TRUE,15,11,FALSE,1,TRUE,19
LOSER,6,13,FALSE,1,TRUE,6,11,FALSE,21,TRUE,12
LOSER,7,13,FALSE,1,TRUE,7,23,FALSE,1,TRUE,14
LOSER,5,4,FALSE,1,TRUE,7,13,FALSE,1,TRUE,12
WINNER,5,2,FALSE,18,FALSE,6,20,FALSE,5,TRUE,11
WINNER,7,14,FALSE,9,TRUE,8,6,FALSE,9,TRUE,15
WINNER,6,1,TRUE,21,TRUE,5,16,FALSE,5,TRUE,11
WINNER,7,13,FALSE,9,TRUE,5,19,FALSE,3,FALSE,12
LOSER,5,14,FALSE,1,TRUE,3,1,TRUE,2,FALSE,8
WINNER,6,11,FALSE,9,TRUE,9,19,FALSE,10,FALSE,15
WINNER,7,10,FALSE,5,TRUE,6,3,FALSE,12,FALSE,13
WINNER,7,23,FALSE,9,TRUE,7,7,FALSE,1,TRUE,14
WINNER,8,18,FALSE,5,TRUE,6,2,FALSE,12,FALSE,14
WINNER,6,13,FALSE,1,TRUE,8,2,FALSE,8,FALSE,14
LOSER,6,18,FALSE,15,TRUE,8,19,FALSE,3,FALSE,14
LOSER,8,13,FALSE,1,TRUE,6,11,FALSE,18,FALSE,14
LOSER,4,10,FALSE,15,TRUE,4,3,FALSE,1,TRUE,8
WINNER,5,12,FALSE,1,TRUE,7,6,FALSE,15,TRUE,12
WINNER,9,8,FALSE,1,TRUE,11,1,TRUE,20,FALSE,20
LOSER,7,19,FALSE,18,FALSE,9,13,FALSE,1,TRUE,16
WINNER,5,3,FALSE,18,FALSE,14,14,FALSE,5,TRUE,19
WINNER,4,16,FALSE,1,TRUE,7,6,FALSE,9,TRUE,11
LOSER,3,8,FALSE,1,TRUE,6,4,FALSE,21,TRUE,9
WINNER,7,22,FALSE,15,TRUE,3,19,FALSE,15,TRUE,10
WINNER,4,2,FALSE,9,TRUE,5,2,FALSE,25,FALSE,9
WINNER,6,13,FALSE,25,FALSE,8,1,TRUE,2,FALSE,14
WINNER,5,3,FALSE,18,FALSE,7,2,FALSE,18,FALSE,12
WINNER,6,13,FALSE,9,TRUE,5,1,TRUE,19,FALSE,11
WINNER,11,10,FALSE,5,TRUE,6,26,FALSE,21,TRUE,17
LOSER,5,19,FALSE,15,TRUE,8,19,FALSE,14,FALSE,13
WINNER,5,7,FALSE,12,FALSE,11,19,FALSE,9,TRUE,16
LOSER,5,1,TRUE,22,FALSE,4,2,FALSE,12,FALSE,9
WINNER,4,4,FALSE,1,TRUE,7,1,TRUE,14,FALSE,11
LOSER,8,23,FALSE,15,TRUE,5,13,FALSE,1,TRUE,13
WINNER,9,3,FALSE,8,FALSE,4,1,TRUE,16,FALSE,13
WINNER,5,13,FALSE,1,TRUE,9,7,FALSE,18,FALSE,14
WINNER,8,26,FALSE,8,FALSE,4,3,FALSE,8,FALSE,12
LOSER,4,13,FALSE,15,TRUE,5,19,FALSE,9,TRUE,9
WINNER,6,10,FALSE,21,TRUE,5,2,FALSE,15,TRUE,11
WINNER,5,4,FALSE,1,TRUE,11,12,FALSE,15,TRUE,16
LOSER,4,5,TRUE,18,FALSE,4,2,FALSE,1,TRUE,8
WINNER,4,1,TRUE,18,FALSE,6,19,FALSE,8,FALSE,10
LOSER,6,18,FALSE,15,TRUE,9,18,FALSE,21,TRUE,15
LOSER,6,20,FALSE,8,FALSE,6,5,TRUE,12,FALSE,12
WINNER,5,1,TRUE,1,TRUE,9,6,FALSE,5,TRUE,14
WINNER,6,8,FALSE,1,TRUE,7,4,FALSE,18,FALSE,13
WINNER,4,13,FALSE,1,TRUE,7,13,FALSE,1,TRUE,11
WINNER,7,12,FALSE,5,TRUE,4,16,FALSE,9,TRUE,11
WINNER,4,5,TRUE,25,FALSE,11,11,FALSE,21,TRUE,15
WINNER,7,12,FALSE,15,TRUE,3,12,FALSE,9,TRUE,10
WINNER,5,1,TRUE,13,FALSE,5,6,FALSE,15,TRUE,10
LOSER,7,1,TRUE,14,FALSE,10,3,FALSE,15,TRUE,17
WINNER,6,23,FALSE,5,TRUE,6,2,FALSE,5,TRUE,12
WINNER,4,8,FALSE,1,TRUE,5,8,FALSE,9,TRUE,9
LOSER,7,8,FALSE,9,TRUE,6,13,FALSE,15,TRUE,13
LOSER,4,10,FALSE,15,TRUE,7,6,FALSE,9,TRUE,11
WINNER,7,23,FALSE,9,TRUE,5,3,FALSE,15,TRUE,12
WINNER,4,10,FALSE,9,TRUE,4,16,FALSE,5,TRUE,8
LOSER,4,1,TRUE,12,FALSE,7,23,FALSE,8,FALSE,11
LOSER,5,4,FALSE,1,TRUE,8,8,FALSE,1,TRUE,13
LOSER,4,10,FALSE,15,TRUE,7,18,FALSE,1,TRUE,11
WINNER,3,11,FALSE,1,TRUE,4,4,FALSE,5,TRUE,7
WINNER,7,18,FALSE,21,TRUE,7,7,FALSE,18,FALSE,14
WINNER,7,19,FALSE,20,FALSE,5,12,FALSE,1,TRUE,12
WINNER,6,1,TRUE,18,FALSE,9,16,FALSE,18,FALSE,15
WINNER,5,4,FALSE,21,TRUE,8,13,FALSE,12,FALSE,13
WINNER,9,10,FALSE,15,TRUE,2,15,TRUE,8,FALSE,11
LOSER,3,11,FALSE,5,TRUE,4,12,FALSE,1,TRUE,7
LOSER,8,2,FALSE,5,TRUE,10,16,FALSE,6,FALSE,18
LOSER,6,18,FALSE,15,TRUE,10,23,FALSE,9,TRUE,16
WINNER,6,19,FALSE,20,FALSE,7,18,FALSE,21,TRUE,13
WINNER,4,5,TRUE,6,FALSE,6,11,FALSE,9,TRUE,10
WINNER,5,4,FALSE,1,TRUE,6,6,FALSE,9,TRUE,11
WINNER,4,13,FALSE,1,TRUE,6,19,FALSE,20,FALSE,10
WINNER,7,6,FALSE,9,TRUE,4,14,FALSE,5,TRUE,11
WINNER,8,10,FALSE,15,TRUE,7,8,FALSE,15,TRUE,15
